country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg,pollution_range,update_hour,pollution_category
India,Gujarat,Ahmedabad,"SAC ISRO Bopal, Ahmedabad - IITM",2026-05-31 10:00:00,23.041137,72.456691,CO,4.0,16.0,9.0,12.0,10,Good
India,Gujarat,Ahmedabad,"SAC ISRO Satellite, Ahmedabad - IITM",2026-05-31 10:00:00,23.023389,72.515201,CO,1.0,34.0,20.0,33.0,10,Good
India,Gujarat,Ahmedabad,"SVPI Airport Hansol, Ahmedabad - IITM",2026-05-31 10:00:00,23.076793,72.627874,OZONE,10.0,28.0,19.0,18.0,10,Good
India,Gujarat,Ankleshwar,"GIDC, Ankleshwar - GPCB",2026-05-31 10:00:00,21.613267,73.010555,PM2.5,33.0,65.0,47.0,32.0,10,Good
India,Gujarat,Ankleshwar,"GIDC, Ankleshwar - GPCB",2026-05-31 10:00:00,21.613267,73.010555,PM10,39.0,89.0,63.0,50.0,10,Moderate
India,Gujarat,Ankleshwar,"GIDC, Ankleshwar - GPCB",2026-05-31 10:00:00,21.613267,73.010555,CO,34.0,57.0,45.0,23.0,10,Good
India,Gujarat,Bhavnagar,"Vidhyanagar, Bhavnagar - Nexteng Enviro",2026-05-31 10:00:00,21.755417,72.139056,PM10,40.0,85.0,63.0,45.0,10,Moderate
India,Gujarat,Bhavnagar,"Vidhyanagar, Bhavnagar - Nexteng Enviro",2026-05-31 10:00:00,21.755417,72.139056,SO2,5.0,6.0,6.0,1.0,10,Good
India,Gujarat,Bhavnagar,"Vidhyanagar, Bhavnagar - Nexteng Enviro",2026-05-31 10:00:00,21.755417,72.139056,OZONE,7.0,9.0,8.0,2.0,10,Good
India,Gujarat,Gandhinagar,"GIFT City, Gandhinagar - IITM",2026-05-31 10:00:00,23.163798,72.677768,NO2,16.0,26.0,21.0,10.0,10,Good
India,Gujarat,Gandhinagar,"Sector-10, Gandhinagar - GPCB",2026-05-31 10:00:00,23.221714,72.654328,CO,20.0,40.0,27.0,20.0,10,Good
India,Gujarat,Mehsana,"Sadanand Nagar, Mehsana - Nexteng Enviro",2026-05-31 10:00:00,23.59315,72.372792,PM10,23.0,187.0,103.0,164.0,10,Poor
India,Gujarat,Mehsana,"Sadanand Nagar, Mehsana - Nexteng Enviro",2026-05-31 10:00:00,23.59315,72.372792,NO2,8.0,18.0,13.0,10.0,10,Good
India,Gujarat,Mehsana,"Sadanand Nagar, Mehsana - Nexteng Enviro",2026-05-31 10:00:00,23.59315,72.372792,OZONE,12.0,18.0,13.0,6.0,10,Good
India,Haryana,Bhiwani,"H.B. Colony, Bhiwani - HSPCB",2026-05-31 10:00:00,28.806223,76.141105,SO2,1.0,29.0,8.0,28.0,10,Good
India,Maharashtra,Pimpri-Chinchwad,"Park Street Wakad, Pimpri Chinchwad - MPCB",2026-05-31 10:00:00,18.59051,73.77946,SO2,1.0,2.0,1.0,1.0,10,Good
India,Maharashtra,Pimpri-Chinchwad,"Park Street Wakad, Pimpri Chinchwad - MPCB",2026-05-31 10:00:00,18.59051,73.77946,CO,7.0,27.0,15.0,20.0,10,Good
India,Haryana,Charkhi Dadri,"Mini Secretariat, Charkhi Dadri - HSPCB",2026-05-31 10:00:00,28.593883,76.270653,PM2.5,44.0,500.0,139.0,456.0,10,Poor
India,Maharashtra,Pimpri-Chinchwad,"Savta Mali Nagar, Pimpri-Chinchwad - IITM",2026-05-31 10:00:00,18.614767,73.799516,PM10,32.0,88.0,52.0,56.0,10,Moderate
India,Maharashtra,Pimpri-Chinchwad,"Savta Mali Nagar, Pimpri-Chinchwad - IITM",2026-05-31 10:00:00,18.614767,73.799516,OZONE,9.0,38.0,13.0,29.0,10,Good
India,Haryana,Charkhi Dadri,"Mini Secretariat, Charkhi Dadri - HSPCB",2026-05-31 10:00:00,28.593883,76.270653,OZONE,12.0,39.0,20.0,27.0,10,Good
India,Maharashtra,Pimpri-Chinchwad,"Thergaon, Pimpri Chinchwad - MPCB",2026-05-31 10:00:00,18.616318,73.765797,NO2,6.0,28.0,13.0,22.0,10,Good
India,Maharashtra,Pune,"Dhankawadi, Pune - IITM",2026-05-31 10:00:00,18.459883,73.852193,PM2.5,9.0,69.0,26.0,60.0,10,Good
India,Maharashtra,Pune,"Dhankawadi, Pune - IITM",2026-05-31 10:00:00,18.459883,73.852193,NO2,19.0,27.0,22.0,8.0,10,Good
India,Maharashtra,Pune,"Dhankawadi, Pune - IITM",2026-05-31 10:00:00,18.459883,73.852193,CO,24.0,47.0,30.0,23.0,10,Good
India,Maharashtra,Pune,"Katraj Dairy, Pune - MPCB",2026-05-31 10:00:00,18.45445,73.854155,PM2.5,24.0,47.0,30.0,23.0,10,Good
India,Maharashtra,Pune,"Savitribai Phule Pune University, Pune - MPCB",2026-05-31 10:00:00,18.547056,73.826908,PM10,19.0,50.0,34.0,31.0,10,Good
India,Maharashtra,Sangli,"Vijay Nagar, Sangli - MPCB",2026-05-31 10:00:00,16.5038,74.3623,SO2,3.0,7.0,5.0,4.0,10,Good
India,Maharashtra,Sangli,"Vijay Nagar, Sangli - MPCB",2026-05-31 10:00:00,16.5038,74.3623,CO,11.0,16.0,12.0,5.0,10,Good
India,Maharashtra,Kolhapur,"Shivaji University, Kolhapur - MPCB",2026-05-31 10:00:00,16.6870449,74.2505872,CO,2.0,18.0,7.0,16.0,10,Good
India,Delhi,Delhi,"NSIT Dwarka, Delhi - CPCB",2026-05-31 10:00:00,28.60909,77.0325413,NO2,6.0,90.0,45.0,84.0,10,Good
India,Maharashtra,Kolhapur,"Sinchan Bhavan, Kolhapur - MPCB",2026-05-31 10:00:00,16.7143745,74.2426398,OZONE,6.0,90.0,45.0,84.0,10,Good
India,Delhi,Delhi,"NSUT Jaffarpur, Delhi - DPCC",2026-05-31 10:00:00,28.594004,76.909423,PM2.5,29.0,79.0,48.0,50.0,10,Good
India,Delhi,Delhi,"NSUT Jaffarpur, Delhi - DPCC",2026-05-31 10:00:00,28.594004,76.909423,NH3,2.0,7.0,4.0,5.0,10,Good
India,Delhi,Delhi,"NSUT Jaffarpur, Delhi - DPCC",2026-05-31 10:00:00,28.594004,76.909423,OZONE,29.0,142.0,54.0,113.0,10,Moderate
India,Delhi,Delhi,"Najafgarh, Delhi - DPCC",2026-05-31 10:00:00,28.570173,76.933762,PM10,39.0,285.0,93.0,246.0,10,Moderate
India,Delhi,Delhi,"Najafgarh, Delhi - DPCC",2026-05-31 10:00:00,28.570173,76.933762,OZONE,16.0,60.0,23.0,44.0,10,Good
India,Maharashtra,Mumbai,"Bandra Kurla Complex, Mumbai - IITM",2026-05-31 10:00:00,19.053536,72.84643,NH3,16.0,60.0,23.0,44.0,10,Good
India,Delhi,Delhi,"Nehru Nagar, Delhi - DPCC",2026-05-31 10:00:00,28.56789,77.250515,PM2.5,2.0,87.0,39.0,85.0,10,Good
India,Delhi,Delhi,"Nehru Nagar, Delhi - DPCC",2026-05-31 10:00:00,28.56789,77.250515,OZONE,13.0,72.0,26.0,59.0,10,Good
India,Delhi,Delhi,"Patparganj, Delhi - DPCC",2026-05-31 10:00:00,28.623763,77.287209,PM2.5,13.0,177.0,44.0,164.0,10,Good
India,Delhi,Delhi,"Patparganj, Delhi - DPCC",2026-05-31 10:00:00,28.623763,77.287209,NO2,10.0,69.0,27.0,59.0,10,Good
India,Delhi,Delhi,"Patparganj, Delhi - DPCC",2026-05-31 10:00:00,28.623763,77.287209,CO,50.0,84.0,54.0,34.0,10,Moderate
India,Delhi,Delhi,"Punjabi Bagh, Delhi - DPCC",2026-05-31 10:00:00,28.674045,77.131023,NO2,13.0,52.0,26.0,39.0,10,Good
India,Delhi,Delhi,"Punjabi Bagh, Delhi - DPCC",2026-05-31 10:00:00,28.674045,77.131023,CO,28.0,80.0,49.0,52.0,10,Good
India,Maharashtra,Satara,"Koyana Nagar, Satara - MPCB",2026-05-31 10:00:00,17.696651,74.003387,PM10,24.0,128.0,58.0,104.0,10,Moderate
India,Maharashtra,Satara,"Koyana Nagar, Satara - MPCB",2026-05-31 10:00:00,17.696651,74.003387,SO2,1.0,3.0,1.0,2.0,10,Good
India,Maharashtra,Solapur,"Dnyaneshwar Nagar, Solapur - MPCB",2026-05-31 10:00:00,17.6336264,75.9132495,SO2,2.0,7.0,4.0,5.0,10,Good
India,Maharashtra,Solapur,"Dnyaneshwar Nagar, Solapur - MPCB",2026-05-31 10:00:00,17.6336264,75.9132495,OZONE,10.0,50.0,14.0,40.0,10,Good
India,Maharashtra,Solapur,"Ratandeep Housing Society, Solapur - MPCB",2026-05-31 10:00:00,17.65439,75.90649,NH3,3.0,10.0,4.0,7.0,10,Good
India,Maharashtra,Thane,"Upvan Fort, Thane - MPCB",2026-05-31 10:00:00,19.222279,72.957979,PM2.5,35.0,55.0,43.0,20.0,10,Good
India,Maharashtra,Thane,"Upvan Fort, Thane - MPCB",2026-05-31 10:00:00,19.222279,72.957979,SO2,7.0,11.0,9.0,4.0,10,Good
India,Maharashtra,Ulhasnagar,"Sidhi Vinayak Nagar, Ulhasnagar - MPCB",2026-05-31 10:00:00,19.235581,73.159121,PM2.5,18.0,339.0,74.0,321.0,10,Moderate
India,Maharashtra,Ulhasnagar,"Vithalwadi, Ulhasnagar - MPCB",2026-05-31 10:00:00,19.2307571,73.155192,PM2.5,8.0,22.0,13.0,14.0,10,Good
India,Maharashtra,Ulhasnagar,"Vithalwadi, Ulhasnagar - MPCB",2026-05-31 10:00:00,19.2307571,73.155192,PM10,14.0,39.0,25.0,25.0,10,Good
India,Maharashtra,Virar,"Bolinj, Virar - MPCB",2026-05-31 10:00:00,19.445821,72.7988231,PM10,9.0,89.0,43.0,80.0,10,Good
India,Maharashtra,Mumbai,"Malad West, Mumbai - IITM",2026-05-31 10:00:00,19.19709,72.82204,SO2,8.0,14.0,11.0,6.0,10,Good
India,Delhi,Delhi,"Talkatora Garden, Delhi - DPCC",2026-05-31 10:00:00,28.62181,77.1944633,OZONE,16.0,95.0,37.0,79.0,10,Good
India,Maharashtra,Mumbai,"Mindspace-Malad West, Mumbai - MPCB",2026-05-31 10:00:00,19.1878657,72.8304069,NH3,2.0,3.0,2.0,1.0,10,Good
India,Delhi,Delhi,"Wazirpur, Delhi - DPCC",2026-05-31 10:00:00,28.699793,77.165453,CO,34.0,71.0,40.0,37.0,10,Good
India,Maharashtra,Mumbai,"Navy Nagar-Colaba, Mumbai - IITM",2026-05-31 10:00:00,18.897756,72.81332,CO,22.0,34.0,23.0,12.0,10,Good
India,Gujarat,Ahmedabad,"Gyaspur, Ahmedabad - IITM",2026-05-31 10:00:00,22.977134,72.553024,SO2,17.0,50.0,29.0,33.0,10,Good
India,Gujarat,Ahmedabad,"Gyaspur, Ahmedabad - IITM",2026-05-31 10:00:00,22.977134,72.553024,CO,22.0,64.0,33.0,42.0,10,Good
India,Gujarat,Ahmedabad,"Maninagar, Ahmedabad - GPCB",2026-05-31 10:00:00,23.002657,72.591912,PM2.5,22.0,80.0,55.0,58.0,10,Moderate
India,Gujarat,Ahmedabad,"Maninagar, Ahmedabad - GPCB",2026-05-31 10:00:00,23.002657,72.591912,SO2,16.0,109.0,61.0,93.0,10,Moderate
India,Gujarat,Ahmedabad,"Maninagar, Ahmedabad - GPCB",2026-05-31 10:00:00,23.002657,72.591912,CO,16.0,73.0,32.0,57.0,10,Good
India,Maharashtra,Mumbai,"Sewri, Mumbai - BMC",2026-05-31 10:00:00,19.000084,72.85673,NO2,13.0,31.0,20.0,18.0,10,Good
India,Gujarat,Ahmedabad,"Raikhad, Ahmedabad - IITM",2026-05-31 10:00:00,23.020509,72.579261,PM10,38.0,123.0,91.0,85.0,10,Moderate
India,Gujarat,Ahmedabad,"Rakhial, Ahmedabad - IITM",2026-05-31 10:00:00,23.016834,72.625775,PM10,7.0,14.0,10.0,7.0,10,Good
India,Delhi,Delhi,"IMD Lodhi Road, Delhi - IITM",2026-05-31 10:00:00,28.5918245,77.2273074,NO2,7.0,27.0,12.0,20.0,10,Good
India,Maharashtra,Dhule,"Deopur, Dhule - MPCB",2026-05-31 10:00:00,20.918946,74.776388,NO2,4.0,12.0,7.0,8.0,10,Good
India,Delhi,Delhi,"ITO, Delhi - CPCB",2026-05-31 10:00:00,28.628624,77.24106,CO,32.0,66.0,38.0,34.0,10,Good
India,Delhi,Delhi,"JNU, Delhi - DPCC",2026-05-31 10:00:00,28.540721,77.168544,SO2,13.0,23.0,16.0,10.0,10,Good
India,Delhi,Delhi,"JNU, Delhi - DPCC",2026-05-31 10:00:00,28.540721,77.168544,OZONE,2.0,57.0,6.0,55.0,10,Good
India,Maharashtra,Jalgaon,"Prabhat Colony, Jalgaon - MPCB",2026-05-31 10:00:00,21.001264,75.565602,NH3,2.0,8.0,4.0,6.0,10,Good
India,Delhi,Delhi,"Jawaharlal Nehru Stadium, Delhi - DPCC",2026-05-31 10:00:00,28.58028,77.233829,OZONE,11.0,80.0,21.0,69.0,10,Good
India,Delhi,Delhi,"Major Dhyan Chand National Stadium, Delhi - DPCC",2026-05-31 10:00:00,28.611281,77.237738,PM10,29.0,271.0,74.0,242.0,10,Moderate
India,Delhi,Delhi,"Major Dhyan Chand National Stadium, Delhi - DPCC",2026-05-31 10:00:00,28.611281,77.237738,NO2,18.0,103.0,44.0,85.0,10,Good
India,Delhi,Delhi,"Major Dhyan Chand National Stadium, Delhi - DPCC",2026-05-31 10:00:00,28.611281,77.237738,NH3,20.0,60.0,33.0,40.0,10,Good
India,Maharashtra,Kolhapur,"Shivaji University, Kolhapur - MPCB",2026-05-31 10:00:00,16.6870449,74.2505872,PM10,15.0,53.0,35.0,38.0,10,Good
India,Delhi,Delhi,"Mundka, Delhi - DPCC",2026-05-31 10:00:00,28.684678,77.076574,PM2.5,10.0,384.0,49.0,374.0,10,Good
India,Meghalaya,Byrnihat,"15th Mile-Nongthymmai, Byrnihat - Meghalaya PCB",2026-05-31 10:00:00,26.05374,91.86796,SO2,10.0,384.0,49.0,374.0,10,Good
India,Meghalaya,Shillong,"JN Stadium, Shillong - Meghalaya PCB",2026-05-31 10:00:00,25.5803419,91.8942571,PM2.5,48.0,52.0,50.0,4.0,10,Good
India,Mizoram,Aizawl,"Sikulpuikawn, Aizawl - Mizoram PCB",2026-05-31 10:00:00,23.7176342,92.7192841,NO2,48.0,52.0,50.0,4.0,10,Good
India,Odisha,Angul,"Hakimapada, Angul - OSPCB",2026-05-31 10:00:00,20.832874,85.104082,CO,18.0,98.0,62.0,80.0,10,Moderate
