country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Haryana,Kaithal,"Rishi Nagar, Kaithal - HSPCB","31-05-2026 10:00:00",29.8006,76.4155,NH3,5,7,6
India,Andhra_Pradesh,Eluru,"District Court, Eluru - APPCB","31-05-2026 10:00:00",16.711754,81.092095,CO,2,26,9
India,Andhra_Pradesh,Eluru,"District Court, Eluru - APPCB","31-05-2026 10:00:00",16.711754,81.092095,OZONE,9,44,20
India,Andhra_Pradesh,Guntur,"Rajendra Nagar North, Guntur - APPCB","31-05-2026 10:00:00",16.316553,80.413302,PM2.5,61,80,70
India,Haryana,Kaithal,"Rishi Nagar, Kaithal - HSPCB","31-05-2026 10:00:00",29.8006,76.4155,OZONE,4,29,10
India,West_Bengal,Howrah,"Belur Math, Howrah - WBPCB","31-05-2026 10:00:00",22.629801,88.352017,NO2,20,124,54
India,Andhra_Pradesh,Guntur,"Rajendra Nagar North, Guntur - APPCB","31-05-2026 10:00:00",16.316553,80.413302,NO2,24,56,35
India,Haryana,Karnal,"Sector-12, Karnal - HSPCB","31-05-2026 10:00:00",29.695300,77.002700,CO,12,44,13
India,Haryana,Karnal,"Sector-12, Karnal - HSPCB","31-05-2026 10:00:00",29.695300,77.002700,OZONE,NA,NA,NA
India,Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB","31-05-2026 10:00:00",14.465052,78.824187,NO2,15,21,16
India,Haryana,Kurukshetra,"Sector-7, Kurukshetra - HSPCB","31-05-2026 10:00:00",29.966942,76.875879,PM2.5,40,67,56
India,Uttar_Pradesh,Ghaziabad,"Loni, Ghaziabad - UPPCB","31-05-2026 10:00:00",28.757294,77.278792,CO,46,88,65
India,Haryana,Kurukshetra,"Sector-7, Kurukshetra - HSPCB","31-05-2026 10:00:00",29.966942,76.875879,PM10,35,485,88
India,Uttar_Pradesh,Ghaziabad,"Loni, Ghaziabad - UPPCB","31-05-2026 10:00:00",28.757294,77.278792,OZONE,29,74,38
India,Haryana,Kurukshetra,"Sector-7, Kurukshetra - HSPCB","31-05-2026 10:00:00",29.966942,76.875879,NO2,16,22,19
India,Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB","31-05-2026 10:00:00",14.465052,78.824187,CO,14,36,16
India,Haryana,Kurukshetra,"Sector-7, Kurukshetra - HSPCB","31-05-2026 10:00:00",29.966942,76.875879,SO2,1,20,8
India,Uttar_Pradesh,Varanasi,"IESD Banaras Hindu University, Varanasi - UPPCB","31-05-2026 10:00:00",25.262326,82.995408,OZONE,2,7,3
India,Karnataka,Ramanagara,"Vijay Nagar, Ramanagara - KSPCB","31-05-2026 10:00:00",12.733409,77.298051,NH3,NA,NA,NA
India,Uttar_Pradesh,Varanasi,"Maldahiya, Varanasi - UPPCB","31-05-2026 10:00:00",25.32393,82.99687,PM10,25,83,50
India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB","31-05-2026 10:00:00",26.11442,85.39813,PM10,42,147,90
India,Karnataka,Shivamogga,"Vinoba Nagara, Shivamogga - KSPCB","31-05-2026 10:00:00",13.940000,75.555917,NO2,20,27,25
India,Karnataka,Shivamogga,"Vinoba Nagara, Shivamogga - KSPCB","31-05-2026 10:00:00",13.940000,75.555917,SO2,2,7,6
India,Uttar_Pradesh,Vrindavan,"Omex Eternity, Vrindavan - UPPCB","31-05-2026 10:00:00",27.5714090,77.6557570,PM10,NA,NA,NA
India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB","31-05-2026 10:00:00",26.11442,85.39813,CO,15,64,32
India,Karnataka,Vijayapura,"Ibrahimpur, Vijayapura - KSPCB","31-05-2026 10:00:00",16.802639,75.722694,PM2.5,30,31,30
India,Karnataka,Vijayapura,"Ibrahimpur, Vijayapura - KSPCB","31-05-2026 10:00:00",16.802639,75.722694,PM10,38,39,39
India,Uttar_Pradesh,Vrindavan,"Omex Eternity, Vrindavan - UPPCB","31-05-2026 10:00:00",27.5714090,77.6557570,SO2,NA,NA,NA
India,Uttar_Pradesh,Vrindavan,"Omex Eternity, Vrindavan - UPPCB","31-05-2026 10:00:00",27.5714090,77.6557570,OZONE,NA,NA,NA
India,Bihar,Muzaffarpur,"MIT-Daudpur Kothi, Muzaffarpur - BSPCB","31-05-2026 10:00:00",26.1403345,85.3650192,SO2,8,20,11
India,Uttarakhand,Dehradun,"Doon University, Dehradun - UKPCB","31-05-2026 10:00:00",30.269444,78.044167,PM10,11,60,32
India,Bihar,Muzaffarpur,"MIT-Daudpur Kothi, Muzaffarpur - BSPCB","31-05-2026 10:00:00",26.1403345,85.3650192,OZONE,5,42,26
India,Uttarakhand,Dehradun,"Doon University, Dehradun - UKPCB","31-05-2026 10:00:00",30.269444,78.044167,NO2,1,6,4
India,Karnataka,Vijayapura,"Ibrahimpur, Vijayapura - KSPCB","31-05-2026 10:00:00",16.802639,75.722694,OZONE,16,17,16
India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB","31-05-2026 10:00:00",25.586562,85.043586,PM2.5,21,32,27
India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB","31-05-2026 10:00:00",25.586562,85.043586,NO2,29,35,32
India,Uttarakhand,Kashipur,"Govt. Girls Inter College, Kashipur - UKPCB","31-05-2026 10:00:00",29.2124114,78.9611753,NH3,2,5,4
India,Uttarakhand,Kashipur,"Govt. Girls Inter College, Kashipur - UKPCB","31-05-2026 10:00:00",29.2124114,78.9611753,CO,19,20,20
India,Uttarakhand,Rishikesh,"Shivaji Nagar, Rishikesh - UKPCB","31-05-2026 10:00:00",30.075911,78.2859547,PM2.5,2,2,2
India,Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB","31-05-2026 10:00:00",25.592539,85.227158,CO,30,103,90
India,Kerala,Kollam,"Polayathode, Kollam - Kerala PCB","31-05-2026 10:00:00",8.8787,76.6073,SO2,2,3,3
India,Kerala,Kollam,"Polayathode, Kollam - Kerala PCB","31-05-2026 10:00:00",8.8787,76.6073,CO,13,18,15
India,Uttarakhand,Rishikesh,"Shivaji Nagar, Rishikesh - UKPCB","31-05-2026 10:00:00",30.075911,78.2859547,SO2,1,1,1
India,Kerala,Thiruvananthapuram,"Kariavattom, Thiruvananthapuram - Kerala PCB","31-05-2026 10:00:00",8.563700,76.886500,PM10,NA,NA,NA
India,Bihar,Patna,"IGSC Planetarium Complex, Patna - BSPCB","31-05-2026 10:00:00",25.610369,85.132568,OZONE,59,60,60
India,Kerala,Thiruvananthapuram,"Kariavattom, Thiruvananthapuram - Kerala PCB","31-05-2026 10:00:00",8.563700,76.886500,SO2,NA,NA,NA
India,Kerala,Thiruvananthapuram,"Kariavattom, Thiruvananthapuram - Kerala PCB","31-05-2026 10:00:00",8.563700,76.886500,CO,NA,NA,NA
India,West_Bengal,Asansol,"Asansol Court Area, Asansol - WBPCB","31-05-2026 10:00:00",23.685297,86.945968,CO,23,76,38
India,West_Bengal,Asansol,"Evelyn Lodge, Asansol - WBPCB","31-05-2026 10:00:00",23.6979360,86.9443950,PM2.5,33,61,44
India,West_Bengal,Asansol,"Evelyn Lodge, Asansol - WBPCB","31-05-2026 10:00:00",23.6979360,86.9443950,PM10,45,77,58
India,Bihar,Patna,"Muradpur, Patna - BSPCB","31-05-2026 10:00:00",25.619651,85.147382,OZONE,4,94,11
India,Kerala,Thiruvananthapuram,"Plammoodu, Thiruvananthapuram - Kerala PCB","31-05-2026 10:00:00",8.5149093,76.9435879,OZONE,14,20,16
India,Kerala,Thrissur,"Corporation Ground, Thrissur - Kerala PCB","31-05-2026 10:00:00",10.532400,76.215900,PM2.5,36,51,45
India,Kerala,Thrissur,"Corporation Ground, Thrissur - Kerala PCB","31-05-2026 10:00:00",10.532400,76.215900,CO,10,18,15
India,West_Bengal,Asansol,"Trivenidevi Bhalotia College, Asansol - WBPCB","31-05-2026 10:00:00",23.616515,87.119133,PM2.5,4,79,34
India,Bihar,Patna,"Samanpura, Patna - BSPCB","31-05-2026 10:00:00",25.596727,85.085624,CO,18,30,25
India,Bihar,Patna,"Samanpura, Patna - BSPCB","31-05-2026 10:00:00",25.596727,85.085624,OZONE,44,51,47
India,Bihar,Purnia,"Mariam Nagar, Purnia - BSPCB","31-05-2026 10:00:00",25.366336,87.117468,PM2.5,50,75,63
